"","title","company","location","summary","link","description"
"1","Data Analyst","Global Technical Talent","Boston, MA","Proficiency with data warehouse, data mining, data analysis, and predictive modeling.","https://www.indeed.com/company/Global-Technical-Talent/jobs/Data-Analyst-19bc39f4adb890b5?fccid=e5bc8d98d59b1389&vjs=3","We are a global technology company providing chip development and Artificial intelligence services to some big companies. Now we are looking for a data analyst to join our development team. As a data analyst, you will be a key member of our U.S. team, working with the development team and production team across the company to service the business needs and help shape the business strategy for our business.You will be focused on:* Design, build and test pipelines and platforms to streamline the development of machine learning models* Developing in R and Python* Experience with SQL(Hive, Oracle, MySQL)* Experience with data visualization tools, Tableau, Excel VBAQualifications:Bachelor's degree in Statistics, Applied Mathematics or related disciplineProficiency with data warehouse, data mining, data analysis, and predictive modelingcomfortable working in a high-pressure work environmentJob Types: Full-time, InternshipPay: $71,000.00 - $86,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offSchedule:8 hour shiftSupplemental Pay:Bonus payEducation:Bachelor's (Preferred)Experience:SQL: 1 year (Preferred)This Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureWork Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview process"
"2","Data Scientist Intern","Homesite Insurance","Boston, MA","Analyze text, voice and/or image (unstructured data) analytics.","https://www.indeed.com/rc/clk?jk=3460ccb96fcb34d5&fccid=b9ca7ec1464dfa21&vjs=3","Homesite Insurance was founded in 1997 and was one of the first companies to enable customers to purchase home insurance directly online, during a single visit. Since then, we've continued to innovate rapidly to meet the needs of our customers and their changing expectations.
One thing that's stayed the same since our founding: our commitment to our customers, partners and employees.
Join us on our journey as we continue to grow into a powerful contender in the field of insurance.
Come join Homesite, part of the American Family Enterprise, for our Summer 2021 Intern Program! This program will run mid-May through the end of August 2021.

The Data Scientist Intern will:
Assess data quality

Perform exploratory and statistical data analysis

Univariate & multivariate analysis

Treat missing values & outlier

Perform feature extraction

Perform data mining and apply machine learning algorithms

Model building/training

Model experiment

Model evaluation

Model deployment

Model automation

Model monitoring and optimizing models

Develop predictive/forecasting/statistical models

Operationalize models to convert data to insights

Disseminate actionable insights to business users

Analyze text, voice and/or image (unstructured data) analytics
Stay Connected! Join our Talent Community !"
"3","Data Scientist","Harvard University","Boston, MA","00 - Non Union, Exempt or Temporary.","https://www.indeed.com/rc/clk?jk=349a3652ec146687&fccid=5507a64404691526&vjs=3","Job Code
RS0356 Statistician I
Sub-Unit
-
Department
Neurobiology
Time Status
Full-time
Salary Grade
056
Union
00 - Non Union, Exempt or Temporary
Appointment End Date
30-Apr-2021
Pre-Employment Screening
Education, Identity
Schedule
35 hrs. per week | Monday - Friday | 9:00 am - 5:00 pm
EEO Statement
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, gender identity, sexual orientation, pregnancy and pregnancy-related conditions, or any other characteristic protected by law."
"4","Part-Time Virtual Call Center Sales Agent","APG","Boston, MA","Enter data into the system accurately.","https://www.indeed.com/rc/clk?jk=cee960a2798f120b&fccid=fc8cd61140cc1ba8&vjs=3","Looking for 5 self motivated individuals that want to build their book of business. We will give you the use of our sales platform and enable you to be a true solution provider for business owners. We offer 11 different products and services that save our clients money. It’s hard selling value, but selling savings is easy when you have over 180+ wholesalers at your disposal. Work with us and make money by saving your clients money.

WHAT YOU'LL BE DOING| THE ROLE
Sets appointments & make sales via outbound calls
Meet or exceed appointment setting and quality of goals within system guidelines.
Handle every prospect, customer and co-worker with World Class Service regardless of their treatment of you.
Enter data into the system accurately.
Effectively communicate with supervisors via phone, whatsapp, messenger etc.
WHAT YOU'LL BRING| THE PERSON
Must be self-motivated, disciplined, resourceful
Demonstrated ability to self-manage in a remote work environment including setup of
company-provided VOIP, email, and other tools
Ability to handle fast paced call volume
Excellent communication and phone skills
At Home Resources Need To Meet The Following Requirements
Dedicated, private work space- preferably quiet area
To be successful here you must be
Well Spoken
Confident in your abilities
Persuasive
Self Motivated
WHAT'S IN IT FOR YOU | THE BENEFITS
Competitive payout
Payout increases
Working from the comfort of your own home
Amazing support!
ABC PRO GRP about us:

A Business Consulting Professional Group was made to help businesses survive. As a business owner, who is your help? …... Who can you turn to and request aid to help save money? ……… Most would respond and say ""no one"". According to the Bureau of Labor Statistics, 20% of small businesses fail in their first year and 50% of those businesses that survive fail within five years. Then in ten years 65% more fail. We refuse to let their services or utilities get in the way of their survival. We are here to help make a difference for small businesses and the lives of every person their business touches. Help us help them save."
"5","Data Scientist","Amazon Dev Center U.S., Inc.","Boston, MA","Or statistical/mathematical software (e.g. R, SAS, or Matlab).","https://www.indeed.com/rc/clk?jk=64c5659c8e9c82ab&fccid=fe2d21eef233e94a&vjs=3","Bachelor's Degree
3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
2 years working as a Data Scientist

Amazon Elastic File System (EFS) https://aws.amazon.com/efs/ is looking for a Data Scientist to dive deep into the vast data generated by a rapidly growing AWS storage service and applying current data analysis methods to produce insights that will improve customer experience, operational effectiveness, and business value. As a member of the Amazon EFS team, you’ll work closely with outstanding engineers and product managers to work hard, have fun, and create the future of cloud storage.

Building a High-Performing & Inclusive Team Culture
You should be passionate about working with a world-class team that welcomes, celebrates, and leverages a diverse set of backgrounds and skillsets to deliver results. Driving results is your primary responsibility, and doing so in a way that builds on our inclusive culture is key to our long term success.

Work/Life Balance
EFS values work-life balance. On normal days, our entire team is co-located in the Boston office, but we’re also flexible when people occasionally need to work from home. We generally keep core available hours from 10am to 4pm. Some of the team is available earlier and the rest of us work a little later.

Energizing and Interesting Technical Problems
You will work in partnership with engineers on the team to build and operate large scale systems that move and transform customer volume data and accelerate access to their data. You’ll be working to provide solutions to both internal and external customers and engage deeply with other teams within EFS, S3, EC2, and many other services. It’s humbling and energizing to provide data movement solutions to customers at AWS scale.

Mentorship & Career Growth
We’re committed to the growth and development of every member of EFS, and that includes our engineers. You will have the opportunity to contribute to the culture and direction of the entire EFS org and deliver initiatives that will improve the life of all of our teams.

As a Data Scientist on EFS you will be curious and dive deep into performance, business, and operational metrics. You’re excited about designing solutions that scale while also engaging individual customers in understanding their applications. You’re able to think about business opportunities, operational issues, and architectural diagrams in the course of a single conversation. You’re looking for a team of bright, capable engineers to work with directly in implementing your vision while also collaborating with other data scientists across AWS.
Understanding of operating system fundamentals (Linux or Windows)
Experience with AWS services

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
"6","Entry Level Data Analyst","Hopjump","Cambridge, MA","General understanding of market segmentation, sizing and statistics.","https://www.indeed.com/rc/clk?jk=6ceb169f5c93de6c&fccid=30c994b6c2f39768&vjs=3","Entry Level Analyst | Cambridge, MA, United States

Sick of those 'entry level jobs' that require 1-2 years experience? If you have an analytical and quantitative mindset, and are looking to apply that to solving interesting problems everyday - Please Apply!
Our analyst team gets to work on all aspects of our business, from optimizing user experience on the site to monetization in order to help grow our reach as a media company. We work with MySQL, Python, R, Excel, and more, though no prior knowledge of programming is required.
We're looking for analytical thinkers interested in scaling our business and using big data to give our users the best experience across our platform.
Come help us solve cool problems and grow the startup!
What we're looking for:

B.A./B.S. in Mathematics, Statistics, Physics, or another quantitative field
Ability to plan out a process and execute on it on a daily basis with an emphasis on achieving and measuring results
Demonstrated ability to learn quickly
General understanding of market segmentation, sizing and statistics
Experience with or desire to learn R, mySQL, Python, and more

Bonus points if you have:

Experience with email marketing (and SEM, SEO, display)
Experience with online advertising / marketing growth metrics

Things You'll Like About HopJump:
We value and encourage creative thinking & intellectual curiosity.
You'll have a very clear understanding of how your work matters to the company.
You'll find interesting new challenges every day on the forefront of online marketing.
You'll be given the responsibility to have a big impact on and opportunities for leadership within our business from early on.
You'll be part of a passionate team with broad skills and interests.
We have fun! Frequent company outings, lunches, and parties.
We offer competitive salaries, excellent benefits, and a relaxed work environment with plenty of perks."
"7","Associate Research Scientist","LanceSoft Inc","Cambridge, MA","A degree in Immunology, Biology or related discipline.","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMfqVQl_w8gLxWqM5bIZ9vuvSnKz-sLVkrOJI2vPDM-T-WV_JhAXUr_sL4zWVzpc1MxDlQc2xyc4_CK0WfJ89KWk4-C2K6_ZkbwWjRIocXJrDRR8b0GaPbYlJXsP-mClZpw7nXOKeeewh1efch85QvI_bkDBK4I-R9khMq_vYVzbwEdfmE_NlLPr_cPEaAOCEQzsvq8UseCQh2DrU1LkfD3LFfFw-18QRSsDF3e5u-ATnT5I5j89yFXhS6IGRD173bw3AOHz4pl2WgciLfM1yiJP5ORLp2-BTyAL1NIGAG7fUixBW7RU63xYYT13XQ4PiguURKhnQ6sm_IUtBfIxy9ewTi9qvyQ0aY2doQM5__4i9VyOx1LNsJq6qzJwz3GW2KsG7Mv1jzjh3e3SGf6dQq0Bqlq0k_FEK8YsXvPKLhDnF5bDYkBEPirCP0lyTxV-JjryTM0cCws4PevPJTdYWFBWpl2OkxKSI=&p=6&fvj=1&vjs=3","Job detailsSalary$35 - $39 an hourJob TypeFull-timeContractFull Job DescriptionThis is an urgent opening as an Associate Research Scientist.It is 12 Months contract with a possibility of get an extension.Pay range is $ 35/ Hr. to $ 39/ Hr.Role / Responsibilities: We are seeking an associate scientist to join our Translational Research.The Associate Scientist will be responsible for supporting flow cytometry related activities within the cellular immunology team. The role will involve supporting daily flow cytometry work on blood samples from patients and delivering results within project timelines.This is a laboratory-based position, which will primarily focus on routine lab work, including sample processing, flow cytometry staining, acquisition and analysis as well as instrument maintenance.To be successful in this role, the candidate must have a strong background in flow cytometry and hands-on experience in multicolor flow cytometry and analysis of flow data.Prior experience working with blood and PBMCs as well as maintaining cell lines in culture is highly desirable and prior experience working with BD cytometers and DIVA is a plus.We encourage aspiring scientists who are passionate problem solvers to consider this opportunity.Qualifications / Essential Skills: A degree in Immunology, Biology or related disciplineBS with 1-3 years of post-graduate experience in Biotech/Pharmaceutical industry or academic institutionStrong background in Flow Cytometry.Experience using FlowJo and other flow analysis software.Experience in sample processing, including whole blood and PBMCs as well as cell lines cultureFamiliarity with laboratory inventory management systemCapable to read and follow instructions, and work independentlyJob Types: Full-time, ContractSalary: $35.00 - $39.00 per hourSchedule:Monday to FridayCOVID-19 considerations:Must to follow COVID-19 precautionsEducation:Bachelor's (Required)Experience:background in Flow Cytometry: 2 years (Required)Full Time Opportunity:YesCompany's website:naCompany's Facebook page:naBenefit Conditions:Only full-time employees eligibleWork Remotely:No"
"8","Data Sciences Associate","Eli Lilly","Cambridge, MA","Bachelors in computational biology or chemistry, computer and information sciences, bioinformatics, cheminformatics, or related fields.","https://www.indeed.com/rc/clk?jk=a77362d75f789875&fccid=ac8d156b339793e6&vjs=3","At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
Organization Overview:

At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 39,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world. #WeAreLilly
Responsibilities:

Lilly is passionate about the discovery, development and commercialization of potential new medicines that will impact and improve the lives of patients. Our Neuroscience Next Generation Therapeutics team is an innovation-focused organization striving to identify, develop and apply the most cutting-edge technologies to deliver maximum benefit to our patients. Are you looking to be part of a growing, driven team where you will help to progress new therapeutic approaches toward clinical development and commercialization? Oligonucleotide-based therapies and other novel modalities represent an existing avenue of research toward development of the next generation of therapies.
The Next Generation Therapeutics group is a newly formed team with a focus on using novel therapeutic modalities to deliver medicines for chronic pain and neuro degenerative disorders. The group, based at our Cambridge Innovation Center in Kendal square, will work with internal and external partners to identify and deliver new novel therapies into patients at speed. The team is seeking experienced and inspiring scientists to join our fast-paced, interdisciplinary team as we leverage innovative RNA/oligonucleotide/gene and genomic based therapeutic modalities to enhance our portfolio.
As a data scientist you will be key to driving innovation within the team. You will need to have a creative and flexible approach to problem solving.
Develop innovative analytical approaches with translational impact for biological data
Automate your analyses within pipelines that can be run by collaborating scientists
Create reports and visualisations that tell the story of how well a new therapeutic is performing
Apply machine-learning methods (e.g. deep learning, reinforcement learning, and generative adversarial networks) to biological imaging data
Ingest data from both internal assays and from external vendors.Basic Requirements:
Bachelors in computational biology or chemistry, computer and information sciences, bioinformatics, cheminformatics, or related fields
Additional Skills/Preferences:Excellent communication skills and demonstrated efficiency in collaborating across functional boundaries
Demonstrated experience in processing, organizing, analyzing and visualizing complex data and information from disparate sources
Extensive experience in solving scientific problems using programming languages (R/ Python/ Julia/ C++) and developing visualizations (e.g. JavaScript)
Experience in data extraction and manipulation (e.g. SQL, GraphQL and Cypher)
Experience working with Cloud (AWS) and High-Performance Computing environments)Additional Information:
Location: Cambridge, MA
Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.
Lilly is an EEO/Affirmative Action Employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status."
"9","Data Annotators - (Contract work)","Perceptive Automata",NA,"Passion for data, efficiency, and accuracy.","https://www.indeed.com/rc/clk?jk=e7cbb52dbc6c5154&fccid=a2b1f7c3f77a78d6&vjs=3","We are hiring data annotators to help us review and label our video data. Our company builds machine learning models that predict, in real-time, pedestrian awareness and crossing intent in driving videos. The training of these models relies on annotated information that we extract from clips that show pedestrians in road environments. This annotated information includes, for example, whether an object is a pedestrian, whether it is daytime or nighttime, whether the pedestrian wants to cross the road in front of the vehicle, and what a reasonable driving action would be in a given scenario. We rely on annotators to make sure that we extract that information correctly.

In this annotation role, you will be asked to scrutinize our data (sometimes in the form of images, sometimes short video clips), ensure that it has been accurately and thoroughly categorized, and, for some tasks, assess how a reasonable human driver would drive in relation to a specific pedestrian and/or the overall traffic situation. Some of these annotation tasks are more complex than others and you will be trained to annotate well.

Some of the annotations will be performed using a web-based interface such as Google Sheets, others will be performed using a desktop application that we've built in-house. As such you will need to have reliable access to the internet, a quality display to ensure that you can see sufficient detail in the images and clips, and a recent-model desktop computer (Windows, Mac, or Linux) on which you can install our annotation software. Higher-spec laptops are also acceptable.

You will have the flexibility to schedule your work hours during the day/week, but we expect you to commit at least 10 hours per week to these annotation tasks.

Strong Preferred Skills and Background:
High school diploma
5+ years of mostly urban/city driving experience
Basic technical and computer skills
Previous annotation experience a plus
Passion for data, efficiency, and accuracy.
Ability to deliver accurate annotations at scale
At least 10 hours per week
Quality display to ensure you can view sufficient detail in the images and clips
Company Overview:

Perceptive Automata is a machine learning and computer vision company started by Harvard and MIT scientists that is developing a novel approach to help make autonomous vehicles safer for others on (or near) the road. We are supported by top Silicon Valley investors and global car makers and are growing rapidly in response to increasing demand for this technology."
"10","Data Scientist Intern","McGraw Hill",NA,"Experience with standard data science packages and methodologies.","https://www.indeed.com/rc/clk?jk=56dd33374aa887b9&fccid=58fef0e5bbfde084&vjs=3","Build the FutureDo you enjoy testing the limits of possibility? At McGraw Hill, our Data Scientists drive progress and help build the future of learning. If you have the passion and technical expertise to thrive in an innovative and agile environment, we want to learn more about you.McGraw Hill, the leading provider of digital and print educational materials is looking for a Data Scientist Intern to work remotely within our Digital Platform Group (DPG). This group is responsible for building and supporting innovative on-line platforms to power learning across our K-12, Higher Education, International, and Professional segments. As part of this team, the Analytics and Reporting department is building best-in-class applications which leverage data and machine learning for advanced analytics and adaptive learning products. If you are interested in contributing to the future of digital and remote learning, join us!
This role works hands-on within our Data Science and Data Engineering team to:
Cleanse and wrangle student interaction data from our learning platformsBuild ML models which learn from student behavior and predict learning outcomesEvaluate performance and improve those modelsBuild service endpoints to deploy those models to real applications which are customer (instructor/student) facing
We are looking for someone with:
A degree program in Computer Science, Data Science, or equivalentStrong hands-on programming skills in Python or ScalaExperience with standard data science packages and methodologiesExperience training and evaluating a broad variety of supervised and unsupervised learning models using various optimization algorithmsExperience with Spark a big plusA desire to innovate in the adaptive learning/personalized digital learning space
Why work for us?
At McGraw Hill, you will be empowered to make a real impact on a global scale. Every day your individual efforts contribute to the lives of millions.
As an education innovation company, we're proud to play our part by inspiring learners around the world. If you bring your curiosity, we'll help you grow in a collaborative environment where everyone shares a passion for success.Are you ready for a new challenge? Apply for a career at McGraw Hill and together, we'll impact the world."
